Data,Novos,Ativos,Confirmados,Obitos
2021-03-18,8,45,298,04
2021-03-19,3,44,301,04
2021-03-20,7,46,308,04
2021-03-21,1,42,309,04
2021-03-22,8,46,317,04
2021-03-23,9,51,326,04
2021-03-24,2,42,328,04
2021-03-25,2,32,329,4
2021-03-26,7,33,336,4
2021-03-27,2,35,338,4
2021-03-28,6,39,344,4
2021-03-29,3,29,347,4
2021-03-30,4,28,351,4
2021-03-31,5,29,356,4
2021-04-01,4,30,360,4
2021-04-02,4,31,364,4
2021-04-04,5,29,372,5
2021-04-05,1,27,373,5
2021-04-06,1,25,374,5
2021-04-07,4,26,378,5
2021-04-08,1,21,379,6
2021-04-09,0,20,379,6
2021-04-10,2,19,381,7
2021-04-11,2,20,383,7
2021-04-12,2,17,385,7
2021-04-13,2,17,387,7
2021-04-14,6,21,393,7
2021-04-15,0,20,393,7
2021-04-16,4,21,397,7
2021-04-17,5,25,402,7
2021-04-18,2,27,404,7
2021-04-19,5,29,412,7
2021-04-20,0,27,412,7
2021-04-22,0,31,422,7
2021-04-23,0,27,422,7
2021-04-24,7,33,429,7
2021-04-26,7,32,439,7
2021-04-27,1,30,440,7
2021-04-28,23,48,463,7
2021-04-29,10,54,473,7
2021-05-01,12,66,491,7
2021-05-02,8,70,499,7
2021-05-03,16,81,515,7
2021-05-05,20,99,539,8
2021-05-06,22,116,561,8
2021-05-07,13,116,574,9
2021-05-08,11,122,585,9
2021-05-10,39,141,638,11
2021-05-11,8,143,646,11
2021-05-12,35,165,681,11
2021-05-13,71,225,752,11
2021-05-14,22,237,774,11
2021-05-15,37,257,811,11
2021-05-16,28,274,839,12
2021-05-17,51,307,890,12
2021-05-18,27,312,915,12
